Article Title,Article Link,Citations,Summary,Post Time
Characteristics of cause of death and triggers for crisis in patients with myasthenia gravis,https://onlinelibrary.wiley.com/doi/abs/10.1111/ncn3.12590,"T Sugimoto, K Ochi, T Yamawaki, H Naito… - Neurology and Clinical … - Wiley Online Library","  … Eight MG patients were confirmed to die during the observation period, and
the causes of death were 4 cases of cancer (breast cancer, pancreatic cancer, stomach cancer, …",3 days ago -
… receptor binding SET domain-containing protein 1 (NSD1) inhibits proliferation and facilitates apoptosis in paclitaxel-resistant breast cancer cells via inactivating the …,https://pubmed.ncbi.nlm.nih.gov/35200072/,"Y Chen, X Li, J Xu, H Xiao, C Tang… - …, 2022 - pubmed.ncbi.nlm.nih.gov","  The burden of breast cancer (BC) has exacerbated over decades. Paclitaxel
resistance is responsible for increasing BC treatment burden. Nuclear receptor binding SET …",3 days ago -
 Tumour-infiltrating lymphocytes add prognostic information for patients with low-risk DCIS: findings from the SweDCIS randomised radiotherapy trial,https://www.sciencedirect.com/science/article/pii/S0959804922000375,"A Schiza, V Thurfjell, AS Tullberg, H Olofsson… - European Journal of …, 2022 - Elsevier","  … Such response-predictive effect of TILs was demonstrated for neoadjuvant
chemotherapy in invasive breast cancer [37]. For stage I/II breast cancer, the effect of adjuvant …",3 days ago -
 Access to preventive sexual and reproductive health care for women from refugee-like backgrounds: a systematic review,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-12576-4,"N Davidson, K Hammarberg… - BMC Public …, 2022 - bmcpublichealth.biomedcentral.com","  … Most related to contraception and cervical or breast cancer screening. Three
main themes and ten subthemes relating to SRH care access were identified: interpersonal …",3 days ago -
"Survival Life Penderita Kanker Payudara Berdasarkan Usia, Pendidikan Dan Status Ekonomi Di RSUD Dr. H. Abdul Moeloek Bandar Lampung",http://www.ejurnalmalahayati.ac.id/index.php/MAHESA/article/view/4067,"SAQ Kusmayadi, M Wulandari… - … Health Student Journal, 2022 - ejurnalmalahayati.ac.id","  … In Indonesia, breast cancer is the number one killer cancer in women with a
death … of breast cancer sufferers. This study aims to determine the survival life of breast cancer …",3 days ago -
Overexpression of IGF-1 During Early Development Expands the Number of Mammary Stem Cells and Primes them for Transformation,https://academic.oup.com/stmcls/advance-article-abstract/doi/10.1093/stmcls/sxab018/6537641,"L Luo, A Santos, K Konganti, A Hillhouse… - Stem Cells, 2022 - academic.oup.com","  … during early development in promoting breast cancer risk. These results also
pinpoint susceptible cell populations to target for breast cancer prevention, suggesting further …",3 days ago -
Indocyanine Green Fluorescence–Guided Lumpectomy of Nonpalpable Breast Cancer Versus Ultrasound-Guided Excision,https://journals.sagepub.com/doi/abs/10.1177/15533506211039962,"W Guo, W Ji, T Zhang, Z Xing, F Xing - Surgical Innovation, 2022 - journals.sagepub.com","  … delivers the preoperative diagnosis for breast cancer of most nonpalpable
lesion, … Preferred treatment for early-stage breast cancer is breast-conserving surgery (BCS). …",3 days ago -
 … -mediated multi-component self-assembly of “all-in-one” nanospike theranostic nano-platform for MRI-guided synergistic therapy against breast cancer,https://www.sciencedirect.com/science/article/pii/S221138352200082X,"X Chen, X Fan, Y Zhang, Y Wei, H Zheng, D Bao… - … Pharmaceutica Sinica B, 2022 - Elsevier","  … Cancer is the leading cause of disease-related death around the world, among
which breast cancer has become the most common malignancy since 2020 1 . The efficient …",3 days ago -
… background parenchymal enhancement levels on the diagnosis of contrast-enhanced digital mammography in evaluations of breast cancer: comparison with contrast …,https://link.springer.com/article/10.1007/s12282-022-01345-1,"S Yuen, S Monzawa, A Gose, S Yanai, Y Yata… - Breast Cancer, 2022 - Springer","  … Patients with breast cancer prior to primary therapy at … Each patient had
breast cancer diagnosed at our … MRI to evaluate the extent of breast cancer, and (4) providing …",4 days ago -
Is Real-Time Microscopy on the Horizon? A Brief Review of the Potential Future Directions in Clinical Breast Tumor Microscopy Implementation,https://link.springer.com/article/10.1007/s00428-022-03300-z,"DR Lopez, D Sgroi, S Krishnamourthy, G Tearney - Virchows Archiv, 2022 - Springer","  … These microscopic technologies have to varying degrees the potential for
transforming breast cancer care, but in order for any of these to be integrated into clinical practice …",4 days ago -
Genome-wide investigations on regulatory functions of RECQ1 helicase,https://www.sciencedirect.com/science/article/pii/S1046202322000652,"S Debnath, X Lu, A Lal, S Sharma - Methods, 2022 - Elsevier","  … breast cancer susceptibility gene significantly correlated with clinical outcomes
of sporadic breast cancer … to its role in suppressing breast cancer. We describe here an …",4 days ago -
Brief psychological intervention among treatment-seeking cancer patients: A randomized controlled trial,https://www.mjdrdypv.org/preprintarticle.asp?id=338621;type=0,"R Rani, J Joseph, R Dhankhar - 2022 - mjdrdypv.org","  … The study investigated the effect of nurse-led brief psychological intervention
among treatment-seeking clients with head and neck and breast cancer. Methods: This study …",4 days ago -
The Mediating Role of Cognitive Emotion Regulation Strategies Between Anxiety and Body Image in Women With Breast Cancer Volunteer For Mastectomy,https://jrh.gmu.ac.ir/browse.php?a_id=1996&sid=1&slc_lang=fa,"R Zali, A Esmaeili, H Saberi - Journal of Research and Health, 2022 - jrh.gmu.ac.ir","  … anxiety and body image in women with breast cancer volunteer for mastectomy.
… with breast cancer volunteer for mastectomy. 350 volunteer mastectomy breast cancer …",4 days ago -
CCL5 Deficiency Enhanced Cryo–Thermal-Triggered Long-Term Anti-Tumor Immunity in 4T1 Murine Breast Cancer,https://www.mdpi.com/1519678,"Y Lou, S Jia, P Liu, LX Xu - Biomedicines, 2022 - mdpi.com","  … Breast cancer remains one of the most common solid … to help the progression
of breast cancer, so in this study, … survival rates of patients with aggressive breast cancer. …",4 days ago -
"Survival of adult patients with solid cancer in Reunion Island, 1998–2014",https://www.sciencedirect.com/science/article/pii/S0007455122000686,"S Devos, M Khettab, E Chirpaz - Bulletin du Cancer, 2022 - Elsevier","  … For the most common cancers, the age-standardized 5-year NS of women was
81% for breast cancer, 58% for colorectal cancer and 62% for cervical cancer. For men, the …",4 days ago -
Kidney Disease Knowledge in African American Males,https://search.proquest.com/openview/a622aaba9abd4f53357a13e0a39424ec/1?pq-origsite=gscholar&cbl=30764,"JR Robinson, G Daniels - Medsurg Nursing, 2022 - search.proquest.com","  … The topics addressed included breast cancer, prostate cancer, general
cancer prevention, hypertension, diabetes, kidney disease, cardiovascular disease, nutrition, …",4 days ago -
[PDF] Relationship between Awareness of Healthy Lifestyle and Perception of Breast Cancer among Women of Reproductive Age,https://www.researchgate.net/profile/Pinar-Irmak-Vural/publication/358695196_Relationship_between_Awareness_of_Healthy_Lifestyle_and_Perception_of_Breast_Cancer_among_Women_of_Reproductive_Age/links/620f7a9ceb735c508ade5302/Relationship-between-Awareness-of-Healthy-Lifestyle-and-Perception-of-Breast-Cancer-among-Women-of-Reproductive-Age.pdf,"Y VARIŞOĞLU, PI VURAL - Int J Oncol Res, 2022 - researchgate.net","  … , breast cancer diagnostic behaviors, family history, traumatic experiences related
to breast cancer, and breast cancer … between breast cancer and breast cancer diagnostic …",4 days ago -
Bias in AI-Based Decision-Making,https://link.springer.com/content/pdf/10.1007/978-3-030-84729-6.pdf#page=278,"A Kadiresan, Y Baweja, O Ogbanufe - Bridging Human Intelligence and Artificial … - Springer","  … , AI was able to decrease false positives of breast cancer by 5.7% on a US data
set and … The example of breast cancer above indicates that AI can help make decisions that …",4 days ago -
Benign Breast Disorders,https://books.google.com/books?hl=en&lr=&id=aw9hEAAAQBAJ&oi=fnd&pg=PA57&dq=%22Breast+cancer%22&ots=yg5Yhjfisa&sig=u4vgbSFe1TKhU_DRbbJxx2NNNNU,"A Stuckey - Management of Benign and Malignant Breast …, 2022 - books.google.com","  … require further evaluation and referral to a breast surgeon for surgical excisions,
whereas others may be associated with an increased risk of developing breast cancer in …",4 days ago -
The Diseased Body Politic of Early America in Toni Morrison's A Mercy,https://academic.oup.com/melus/advance-article-abstract/doi/10.1093/melus/mlac012/6537514,"S Basu - MELUS, 2022 - academic.oup.com","  … For Lorde, who was then receiving treatment for breast cancer, coexisting
diseases were the symptom and not the cause of racialized morbidity.The cause was the …",4 days ago -
Detection of Breast Cancer Through Mammogram Using Wavelet-Based LBP Features and IWD Feature Selection Technique,https://link.springer.com/article/10.1007/s42979-022-01071-7,"DJ Kalita, VP Singh, V Kumar - SN Computer Science, 2022 - Springer","  … of breast cancer were recorded in the year 2020 [1]. Since 2008 breast cancer
cases … we can decrease the mortality rate by detecting breast cancer in early stage. After the …",4 days ago -
 Breast Cancer Management During the COVID-19 Pandemic: the Radiation Oncology Perspective,https://link.springer.com/article/10.1007/s12609-022-00441-7,"CA Knowlton - Current Breast Cancer Reports, 2022 - Springer","  … resources and the need to limit potential exposure to SARS-CoV-2 for both
patients and healthcare staff have affected oncologic care for patients with breast cancer (BC), …",4 days ago -
Mass spectrometric profiling of tryptic digests of trifluoroethanol extracts from core needle biopsies of breast cancer tissues is a viable sample screening tool for …,https://link.springer.com/article/10.1007/s42485-022-00085-2,"P Gopinath, G Gopisetty, S Veluswami… - Journal of Proteins and …, 2022 - Springer","  … Identification of cancer biomarkers in breast cancer clinical samples is challenging
… the TFE-based protein isolation method using breast cancer cell line, MCF-7 and further …",4 days ago -
"Retracted articles in oncology in the last three decades: frequency, reasons, and themes",https://link.springer.com/article/10.1007/s11192-022-04305-w,"B Gholampour, S Gholampour, A Noruzi, C Arsenault… - Scientometrics, 2022 - Springer","  … that the majority of retracted articles in oncology have been associated with
apoptosis, proliferation, invasion, migration, colorectal cancer, lung cancer, and breast cancer, …",4 days ago -
 … of two statistical approaches (Bayesian Kernel Machine Regression and Principal Component Regression) to assess breast cancer risk in association to …,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-022-00840-4,"P Frenoy, V Perduca… - Environmental …, 2022 - ehjournal.biomedcentral.com","  … Table 3 Associations between adherence to PCA components and all breast
cancer, ER + breast cancer and ER- breast cancer risk. Components are used in continuous …",4 days ago -
Recent Developments in the Molecular Mechanisms of Bone Metastasis and Potential Therapeutic Strategies: a Scoping Review,https://abjs.mums.ac.ir/article_19735.html,"EC RODRIGUEZ-MERCHAN… - The Archives of Bone …, 2022 - abjs.mums.ac.ir","  … Regarding patients with breast cancer, we found the following: Asperolide A
could be another curative drug; targeting transforming growth factor-beta (TGFβ) and bone …",4 days ago -
"Photo-catalytic degradation of Tamoxifen by using a novel synthesized magnetic nanocomposite of FeCl2@ ac@ ZnO: a study on the pathway, modeling, and …",https://www.sciencedirect.com/science/article/pii/S2213343722003232,"N Nasseh, MT Samadi, M Ghadirian, AH Panahi… - Journal of …, 2022 - Elsevier","  … -steroidal tri-phenyl ethylene and is one of the most widely used anti-cancer
drugs, which is used in various stages of treatment, inhibition, and prevention of breast cancer. …",4 days ago -
Interstitial lung disorders following postoperative radiotherapy with concurrent or sequential hormonal therapy for breast cancer: a nationwide database study in Japan,https://link.springer.com/article/10.1007/s12282-022-01346-0,"T Konishi, M Fujiogi, N Michihata, R Kumazawa… - Breast Cancer, 2022 - Springer","  … We retrospectively identified female patients with breast cancer who underwent
… IV breast cancer (because surgery is not a standard treatment for stage IV breast cancer [18…",4 days ago -
 MYSM1 induces apoptosis and sensitizes TNBC cells to cisplatin via RSK3–phospho-BAD pathway,https://www.nature.com/articles/s41420-022-00881-1,"X Guan, X Meng, K Zhu, J Kai, Y Liu, Q Ma… - Cell Death …, 2022 - nature.com","  … breast cancer and TNBC than in the luminal type, indicating that MYSM1 might
have specific functions in HER2-positive breast cancer … among all breast cancer subtypes. …",4 days ago -
European Journal of Pharmaceutics and Biopharmaceutics “Re-evaluation of the hCMEC/D3 based in vitro BBB model for ABC transporter studies”,https://www.sciencedirect.com/science/article/pii/S0939641122000388,"V Balzer, P Poc, E Puris, S Martin, M Aliasgari… - European Journal of …, 2022 - Elsevier","  … breast cancer resistance protein … ), multidrug resistance protein 4 (MRP4,
encoded by ABCC4) and breast cancer resistance protein (BCRP, encoded by ABCG2) [8], …",4 days ago -
