Article Name,Citations,summary,Link to Article
Safety‐net hospitals versus non‐safety centers and clinical outcomes after trans‐catheter aortic valve replacement,"MA Sheikh, SV Deo, H Riaz, S Raza… - Catheterization and …, 2021 - Wiley Online Library","… TAVR for severe aortic stenosis, we queried a national database to compare post-procedural 
outcome for TAVR … mortality, stoke and acute kidney injury (AKI) for TAVR performed at …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.29123
Transcarotid versus transapical and transaortic access for transcatheter aortic valve replacement,"KB Allen, AK Chhatriwalla, D Cohen, J Saxon… - The Annals of Thoracic …, 2019 - Elsevier","… The technique for transcarotid TAVR is illustrated in Video 1. We perform transcarotid TAVR 
with … Although the stoke risk after transcarotid TAVR was only 2.4% in our series, the 30-day …",https://www.sciencedirect.com/science/article/pii/S0003497519303443
Does the United States Have Enough TAVR Centers?,"PJ PEARSON - Card Interv Today, 2017 - v2.citoday.com","… insolubility, stoke, and … (TAVR) to many more United States sites. Ironically, this momentum 
is built upon the complex system of checks and balances that were set in place when TAVR …",http://v2.citoday.com/pdfs/cit0517_VU_PCPDebate.pdf
Non-cardiovascular comorbidities as evaluated by Elixhauser comorbidity score in individuals undergoing TAVR,"V Nagaraja, MG Cohen, W Suh, M Alasnag… - Structural …, 2019 - Taylor & Francis","… TAVR outcomes have previously been reported using the Charlson score, for example TAVR 
… The French TAVR database 30 reported a decline of TAVR patients with high Charlson …",https://www.tandfonline.com/doi/abs/10.1080/24748706.2019.1630787
Outcomes of non‐left bundle branch block conduction abnormalities after transcatheter aortic valve replacement,"D Wang, H Li, H Ye, L Jiang - Pacing and Clinical …, 2021 - Wiley Online Library","… Holter on post-TAVR day 4 showed first to third degree AVB. It is worth noting that the case 
… -Stokes attack at the night of the 5 days post-TAVR. In case 2, ECG immediately after TAVR …",https://onlinelibrary.wiley.com/doi/abs/10.1111/pace.14353
Fundamentals of cardiology for the non-cardiologist,"B Xu, MB Stokes, I Meredith - Handbook of psychocardiology, 2016 - research.monash.edu","Awareness of the fundamentals of cardiac anatomy, physiology and various disease states is 
essential to clinicians managing a patient with cardiac pathology. This chapter summarizes …",https://research.monash.edu/en/publications/fundamentals-of-cardiology-for-the-non-cardiologist
Annular rupture successfully salvaged by valve-in-valve implantation,"V Nagaraja, K Ratib, J Nolan - Structural Heart, 2019 - Taylor & Francis","… Transcatheter aortic valve replacement (TAVR) is an accepted treatment for patients with … 
, TAVR is not without its own risks of life-threatening complications. Annular rupture post TAVR …",https://www.tandfonline.com/doi/full/10.1080/24748706.2019.1570408
Commentary: The laws of robotics,"MCW von Ballmoos, MJ Reardon - The Journal of Thoracic and …, 2021 - jtcvs.org","… The advantage of TAVR in the low-risk randomized trials occurs mainly as a safety signal … 
current time for TAVR. Our program runs both active SAVR and TAVR programs and believe in …",https://www.jtcvs.org/article/S0022-5223(20)33003-8/abstract
Propensity-matched comparisons of clinical outcomes after transapical or transfemoral transcatheter aortic valve replacement: a placement of aortic transcatheter …,"EH Blackstone, RM Suri, J Rajeswaran, V Babaliaros… - Circulation, 2015 - Am Heart Assoc","… Using only the propensity score, we matched TA-TAVR cases one-to-one to TF-TAVR cases 
… In the randomized TA-TAVR study group, however, early risk of stoke was substantially …",https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.114.012525
Preprocedural P2Y12 inhibition and decrease in platelet count following transcatheter aortic valve replacement,"H Ibrahim, E Vapheas, B Shah… - Catheterization and …, 2019 - Wiley Online Library","… prior to TAVR is associated with a lower rate of platelet count decrease post-TAVR. … In-hospital 
and early stoke rate after TAVR ranges between 2 and 4% with the majority occurring …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.28320
Dialysis following transcatheter aortic valve replacement: risk factors and outcomes: an analysis from the UK TAVI (Transcatheter Aortic Valve Implantation) Registry,"CJ Ferro, JP Law, SN Doshi, M de Belder… - JACC: Cardiovascular …, 2017 - jacc.org","… to define the incidence of dialysis requirement after TAVR in the United Kingdom, second 
to … after TAVR, and third to compare outcomes in patients requiring dialysis after TAVR with …",https://www.jacc.org/doi/abs/10.1016/j.jcin.2017.05.020
Outcomes of direct transcatheter aortic valve replacement without balloon aortic valvuloplasty using a new generation valve,"SH Aalaei-Andabili, TM Beaver, AA Bavry… - Cardiovascular …, 2019 - Elsevier","… post-TAVR stroke among 27 patients who underwent TAVR with BAV using S3 valve [21]. 
We also did not find any stoke events among our 34 patients who underwent TAVR following …",https://www.sciencedirect.com/science/article/pii/S1553838919300521
Hot topics in interventional cardiology: Proceedings from the society for cardiovascular angiography and interventions (SCAI) 2021 think tank,"…, N Rangwala, C Simonton, J Stokes… - Catheterization and …, 2021 - Wiley Online Library","… approved for transcatheter aortic valve replacement (TAVR) in patients with severe aortic … 
evolved to overcome challenges to successfully performing TAVR that are not part of the food …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.29898
"TCT-150 New Multiple Risk Scoring System for Predicting 3-Year Major Adverse Cardiac Events Based on 3,281 Patients With Acute Myocardial Infarction Treated …","Y Ozaki, Y Yoshiki, K Nakao, K Kimura, J Ako… - Journal of the American …, 2021 - jacc.org","… after emergent intraprocedural surgical conversion during TAVR from 2006 to 2020. … TAVR 
at our center. Among them, 74 (1.1%) required emergent conversion to OHS during TAVR (…",https://www.jacc.org/doi/full/10.1016/j.jacc.2021.09.1003
Understanding neurologic complications following TAVR,"GM Imran, L Alexandra - Interventional Cardiology Review, 2018 - ncbi.nlm.nih.gov","… US, TAVR continues to make large strides. An estimated 340,000 TAVR procedures have … 
[1] Global TAVR procedure volumes are expected to reach 300,000 annually, ushered in by …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5872371/
TCT-148 Outcomes After Emergent Intraprocedural Surgical Conversion During Transcatheter Aortic Valve Replacement: The Importance of On-Site Cardiac …,"P Kiefer, M Marin-Cuartas, S Naumann, S Deo… - Journal of the American …, 2021 - jacc.org","… During the study period a total of 6,903 patients underwent TAVR at our center. Among 
them, 74 (1.1%) required emergent conversion to OHS during TAVR (mean age 81 years; 48 […",https://www.jacc.org/doi/full/10.1016/j.jacc.2021.09.039
Outcomes of transcatheter aortic valve replacement in patients with mitral valve regurgitation,"O Abdullah, J Omran, A Al-Dadah… - Postępy w Kardiologii …, 2019 - ncbi.nlm.nih.gov","… TAVR patients who died during the index hospitalization, age less than 18 years, missing 
LOS or if the TAVR … represents early and delayed post-TAVR stokes) in 3.5% of TAVR-MR. …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6727220/
Cross-sectional review of the response and treatment uptake from the NHS Health Checks programme in Stoke on Trent,"T Cochrane, CJ Gidlow, J Kumar, Y Mawby… - Journal of Public …, 2013 - academic.oup.com","… A cross-sectional review of response, attendance and treatment uptake over the first year 
of the programme in Stoke on Trent was carried out. Patients aged between 32 and 74 years …",https://academic.oup.com/jpubhealth/article-abstract/35/1/92/1593287
Relationship between procedural characteristics and cerebrovascular events after transcatheter aortic valve replacement,"K Goel, VT Nkomo, JP Slusser, R Lennon… - Open …, 2018 - openheart.bmj.com","… For the present study, 370 consecutive patients who underwent TAVR from 1 November … 
CPB after TAVR has declined.31 To further reduce the risk of stoke/TIA is the TAVR population, …",https://openheart.bmj.com/content/5/2/e000816
Five-year clinical and echocardiographic outcomes from the NOTION randomized clinical trial in patients at lower surgical risk,"HGH Thyregod, N Ihlemann, TH Jørgensen, H Nissen… - Circulation, 2019 - Am Heart Assoc","… TAVR and SAVR in lower risk patients, demonstrating no statistical difference for major clinical 
outcomes 5 years after TAVR with a … and pacemaker implantation were seen after TAVR. …",https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.118.036606
Transcatheter aortic valve replacement: The year in review 2017,"K Thakur, TM Nazif, OK Khalique… - Journal of …, 2018 - Wiley Online Library","… required for starting or maintaining TAVR programs often stoke an impassioned debate: 
should we limit TAVR to high volume hospitals; or, should we allow TAVR at smaller hospitals to …",https://onlinelibrary.wiley.com/doi/abs/10.1111/joic.12562
Numerical evaluation of transcatheter aortic valve performance during heart beating and its post-deployment fluid–structure interaction analysis,"RP Ghosh, G Marom, M Bianchi, K D'souza… - … and modeling in …, 2020 - Springer","… TAVR valve deployment during heart beat to obtain optimal implantation depth via FE analysis; 
(b) to compare post-deployment TAVR … -dimensional Navier–Stokes equation that more …",https://link.springer.com/article/10.1007/s10237-020-01304-9
CRT-800.33 Surgical versus Transcatheter Aortic Valve Replacement in Non-High Surgical Risk Severe Aortic Stenosis: A Systematic Review,"T Enezate, A Kumar, MA Fadel, M Patel… - JACC: Cardiovascular …, 2017 - jacc.org","… ) which included procedural death, emergency surgery or stoke. Bal sizes for each pt were 
… -high surgical risk, TAVR has lower risk of MI at one month, otherwise both TAVR and SAVR …",https://www.jacc.org/doi/full/10.1016/j.jcin.2016.12.240
CRT-800.34 Prevalence and Predictors of Sleep Apnea in Contemporary Patients Referred for Aortic Valve Replacement: An Analysis of the National Inpatient …,"S Chatterjee, A Chakraborty, B O'Neill - JACC: Cardiovascular Interventions, 2017 - jacc.org","… ) which included procedural death, emergency surgery or stoke. Bal sizes for each pt were 
… -high surgical risk, TAVR has lower risk of MI at one month, otherwise both TAVR and SAVR …",https://www.jacc.org/doi/full/10.1016/j.jcin.2016.12.241
TCT-706 Histological Findings and Predictors for Cerebral Debris from Transcatheter Aortic Valve Replacement–the ALSTER experience,"T Schmidt, O Akdag, P Wohlmuth, T Thielsen… - Journal of the American …, 2016 - jacc.org","… TAVR effectively increased the aortic valve orifice area … that women and men treated with 
TAVR differ with regard to several risk … and neurologic events after TAVR; however this does not …",https://www.jacc.org/doi/full/10.1016/j.jacc.2016.09.119
Patient-Specific Modeling of Intraventricular Hemodynamics,"V Vedula, A Marsden - APS Division of Fluid Dynamics …, 2017 - ui.adsabs.harvard.edu","… flow in the ventricles, solving the Navier-Stokes equations in arbitrary Lagrangian-Eulerian 
(ALE) … in single ventricle physiology and trans-catheter aortic valve replacement (TAVR). …",https://ui.adsabs.harvard.edu/abs/2017APS..DFD.F4004V/abstract
CRT-800.32 Improvement in Aortic Valve Area in Aortic Stenosis Patients Using a New “Hourglass” Shaped Valvuloplasty Compared with Cylindrical Balloons,"W Pedersen, M Hinke, P Sorajja, A Ahmed… - JACC: Cardiovascular …, 2017 - jacc.org","… ) which included procedural death, emergency surgery or stoke. Bal sizes for each pt were 
… -high surgical risk, TAVR has lower risk of MI at one month, otherwise both TAVR and SAVR …",https://www.jacc.org/doi/full/10.1016/j.jcin.2016.12.239
TCT-227 Calculation of Aortic Valve Area With the Use of Echocardiography and CT Imaging Versus Echocardiography Alone for More Accurate Assessment of the …,"JB Oldemeyer, M Lazkani, J Strote, S Treat… - Journal of the American …, 2021 - jacc.org","… With the advent of transcatheter aortic valve replacement (TAVR), computed tomography (… 
142 patients with severe aortic stenosis who underwent TAVR at our institution. The AVA was …",https://www.jacc.org/doi/full/10.1016/j.jacc.2021.09.1080
Left ventricular remodeling and function after transapical versus transfemoral transcatheter aortic valve replacement,"MA Al‐Hijji, CJ Zack, VT Nkomo… - Catheterization and …, 2019 - Wiley Online Library","… TA TAVR patients had similar 4 year survival to propensity matched TF TAVR; therefore, TA 
TAVR remains an acceptable alternative access route in patients not amenable to TF TAVR. …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.28074
Atrioventricular and intraventricular block after transcatheter aortic valve implantation,"JJ Lee, N Goldschlager, VS Mahadevan - Journal of Interventional …, 2018 - Springer","… LBBB directly attributable to the TAVR procedure may be … TAVR may have important 
implications on the rate of TAVR complications, such as stoke, and overall hospital stay after TAVR…",https://link.springer.com/article/10.1007/s10840-018-0391-6
Save,"ND Kopachevskii - … and its applications to the Stokes problem], Tavr. vestn …",,javascript:void(0)
Comparative Fluid–Structure Interaction Analysis of Polymeric Transcatheter and Surgical Aortic Valves' Hemodynamics and Structural Mechanics,"RP Ghosh, G Marom… - Journal of …, 2018 - asmedigitalcollection.asme.org","… incorporated into a TAVR valve that has the potential to overcome current TAVR limitations by 
… The unsteady Reynolds-averaged Navier–Stokes formulation was used to model the valve …",https://asmedigitalcollection.asme.org/biomechanical/article-abstract/140/12/121002/366094
TCT-323 Is There a Difference in the Types of Complex High-Risk but Indicated Percutaneous Coronary Interventions (CHIP) Undertaken and Their Outcomes Among …,"W Shamkhani, T Kinnaird, H Wijeysundera… - Journal of the American …, 2021 - jacc.org","… TAVR are limited. This study aimed to 1) report the prevalence, features, and outcomes of 
small annulus TAVR and 2) compare the efficacy and safety of the 2 widely used TAVR valves …",https://www.jacc.org/doi/full/10.1016/j.jacc.2021.09.1176
Influence of patient-specific characteristics on transcatheter heart valve neo-sinus flow: an in silico study,"S Singh-Gryzbon, B Ncho, V Sadri, SS Bhat… - Annals of Biomedical …, 2020 - Springer","… -TAVR geometry on flow stasis. Computed tomography angiography of 155 patients who 
underwent TAVR … The continuity equation and Reynolds averaged Navier–Stokes equations …",https://link.springer.com/article/10.1007/s10439-020-02532-x
Paradoxical Increase of Stroke in Patients with Defect of High Molecular Weight Multimers of the von Willebrand Factors following Transcatheter Aortic Valve …,"K Matsushita, B Marchandot, A Trimaille… - Thrombosis and …, 2020 - thieme-connect.com","… TAVR were collected from all patients. We sought to determine if the timing of the first neurological 
event after TAVR … to identify predictors of stoke events during 0 to 1 day after TAVR.[10…",https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0040-1713424
The risk and extent of neurologic events are equivalent for high-risk patients treated with transcatheter or surgical aortic valve replacement,"TG Gleason, JT Schindler, DH Adams… - The Journal of Thoracic …, 2016 - Elsevier","… stroke post-TAVR. NIHSS and MMSE scores trended higher after SAVR than after TAVR. 
Lack of dual antiplatelet therapy use during and after TAVR was associated with early stroke. …",https://www.sciencedirect.com/science/article/pii/S0022522316004335
Temporal trends in utilization and outcomes of transcatheter aortic valve replacement in different races: an analysis of the national inpatient sample,"W Ullah, Y Al-Khadra, T Mir, F Darmoch… - Journal of …, 2021 - journals.lww.com","… We sought to determine the racial and ethnical disparities in the delivery of TAVR and to 
evaluate the in-hospital outcomes and utilization of TAVR stratified by patient ethnicity. …",https://journals.lww.com/jcardiovascularmedicine/Fulltext/2021/07000/Temporal_trends_in_utilization_and_outcomes_of.10.aspx
Computational Analysis of Fluid Dynamics in the Transcatheter Aortic Valve Replacement,"MA Gutierrez - Arquivos Brasileiros de Cardiologia, 2020 - SciELO Brasil","… devices, the use of TAVR for patients with intermediate surgical … analysis solve the 
Navier-Stokes and continuity equations that … Navier-Stokes equation describes the viscous motion …",https://www.scielo.br/j/abc/a/f6zH9vrnqXQdzPxxPHrDPcd/?lang=en&format=html
Carotid access for transcatheter aortic valve replacement: A meta‐analysis,"SP Sharma, R Chaudhary, A Ghuneim… - Catheterization and …, 2021 - Wiley Online Library","… the safety and efficacy of transcarotid TAVR, more robust data are … TAVR. For this reason, 
we sought to perform an updated meta-analysis of the currently published literature on TAVR …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.29244
"Transcatheter aortic valve replacement: historical perspectives, current evidence, and future directions","A Horne Jr, EA Reineck, RK Hasan, JR Resar… - American Heart …, 2014 - Elsevier","… of the aforementioned TAVR devices, novel device designs, and applications of TAVR in … 
One minor stoke occurred. The mean valve gradient fell from 44.9 to 10.7 mm Hg, and the …",https://www.sciencedirect.com/science/article/pii/S0002870314004372
SPECIES GATCHINA GATCH INA PAVLOV TSARS SELO PETER HOF ORANI STREL SHUVA LETNY MIKH TAVR FTA BOT ORIG ECO ANTHRO,"DSZ Priorat, ENA LOVSKY - urbanhabitats.org","… ORANI STREL SHUVA LETNY MIKH TAVR FTA BOT ORIG ECO ANTHRO … ORANI 
STREL SHUVA LETNY MIKH TAVR FTA BOT ORIG ECO ANTHRO … rostrata Stokes …",https://www.urbanhabitats.org/v02n01/stpetersburg_table1_pdf.pdf
Short-term dual anti-platelet therapy decreases long-term cardiovascular mortality after transcatheter aortic valve replacement,"H Hioki, Y Watanabe, K Kozuma, A Kataoka… - Heart and Vessels, 2021 - Springer","… TAVR. Using data from the OCEAN-TAVI registry, we assessed 1008 patients who survived 
the first year after TAVR … stroke later than 1 year after TAVR between the two groups. A total …",https://link.springer.com/article/10.1007/s00380-020-01693-y
Left atrial appendage closure: A therapy uniquely suited for specific populations of patients with atrial fibrillation,"E Black‐Maier, JP Piccini… - Journal of Cardiovascular …, 2019 - Wiley Online Library","… The WATCH-TAVR (NCT03173534) study investigators are … to undergo TAVR followed 
by medical therapy or TAVR with simultaneous LAAC. The primary outcome of the WATCH-TAVR …",https://onlinelibrary.wiley.com/doi/abs/10.1111/jce.14182
Comparison of patient outcome for aortic valve replacement verses transcatheter aortic valve replacement,J Goldberg - 2014 - search.proquest.com,"… for those who are at a high risk for surgery, but the risk for stroke with TAVR doubled … and 
1 year post operation for TAVR verses classic treatment for those unable to undergo surgery. …",https://search.proquest.com/openview/501bdb2c94d955e81ef33e016101500d/1?pq-origsite=gscholar&cbl=18750
Early and midterm outcomes of transcatheter aortic valve replacement in patients with bicuspid aortic valves,"SH Aalaei‐Andabili, TM Beaver… - Journal of Cardiac …, 2018 - Wiley Online Library","… Bicuspid aortic valve (BAV) stenosis has been considered a relative contraindication to 
transcatheter aortic valve replacement (TAVR). We compared the outcomes of TAVR in patients …",https://onlinelibrary.wiley.com/doi/abs/10.1111/jocs.13775
Transaortic valvular replacement prognosis according to aortic stenosis category,"C David, M Lacout, C Caze… - Archives of …, 2019 - researchgate.net","… and stoke volume index. Aim Whether aortic stenosis category influence prognosis after 
TAVR regarding functional improvement and mortality. Method In total, 263 TAVR patients with a …",https://www.researchgate.net/profile/Yohann-Bohbot/publication/333660971_Characteristics_and_prognosis_of_patients_with_significant_tricuspid_regurgitation/links/5edea22492851cf1386bed87/Characteristics-and-prognosis-of-patients-with-significant-tricuspid-regurgitation.pdf
RP Ghosh,"RP Ghosh, G Marom, OM Rotman, M Bianchi… - 2017",,/citations?user=ztOmk0oAAAAJ&hl=en&oi=sra
TCT-359 Treatment Effect of Primary Percutaneous Coronary Intervention on In-Hospital Outcomes of Active Cancer Patients Presenting With ST-Elevation Myocardial …,"M Mohamed, H Van Spall, M Alkhouli, S Khan… - Journal of the American …, 2021 - jacc.org","… dural complications during transcatheter aortic valve replacement (TAVR). The balloon-expandable … 
patients with severe aortic stenosis who underwent TAVR with S3U at 3 high-volume …",https://www.jacc.org/doi/full/10.1016/j.jacc.2021.09.1212
Utilization of advanced cardiovascular therapies in the United States and Canada: an observational study of New York and Ontario administrative data,"P Cram, S Girotra, J Matelski, M Koh… - … Quality and Outcomes, 2020 - Am Heart Assoc","… We compared socio-demographics of EVAR, LVAD, and TAVR recipients in Ontario and 
New York. We compared standardized utilization rates between jurisdictions for each procedure…",https://www.ahajournals.org/doi/abs/10.1161/CIRCOUTCOMES.119.006037
Clinical Implications of Changes in Respiratory Instability Following Transcatheter Aortic Valve Replacement,"Y Ueno, T Imamura, A Oshima, H Onoda… - Journal of Clinical …, 2022 - mdpi.com","… fluctuations as well as Cheyne–Stokes respiration [8]. All-night … following TAVR and the 
prognostic impact of post-TAVR RST… following TAVR in the entire cohort; (3) Post-TAVR RST < 33 …",https://www.mdpi.com/2077-0383/11/1/280
TCT-485 Effect of Coronary Thrombus Aspiration in Patients With Non–ST-Segment Elevation Acute Coronary Syndrome on 3-Year Survival: Does It Add Any Benefit?,"N Cetin, M Orman, B Yildiz - Journal of the American College of Cardiology, 2021 - jacc.org","… after TAVR in a nationally representative cohort. METHODS We retrospectively analyzed 
hospital admission data for patients undergoing TAVR … system disease on TAVR work flow, …",https://www.jacc.org/doi/full/10.1016/j.jacc.2021.09.1338
Patient-specific simulation of transcatheter aortic valve replacement: impact of deployment options on paravalvular leakage,"M Bianchi, G Marom, RP Ghosh, OM Rotman… - … and modeling in …, 2019 - Springer","… Transcatheter aortic valve replacement (TAVR) has emerged … events have been hindering 
TAVR expansion into lower-risk … on the post-deployment TAVR performance, achieving as …",https://link.springer.com/article/10.1007/s10237-018-1094-8
CRT-800.31 Dementia Associated with Longer Hospital and Intensive Care Unit Stay in Patients Undergoing Transcatheter Aortic Valve Replacement,"A Uzendu, A Knight, M Leesar, S Singh… - JACC: Cardiovascular …, 2017 - jacc.org","… TAVR, we identified 63 patients with complete renal function data not on dialysis undergoing 
cardiac catheterization and TAVR. … death, emergency surgery or stoke. Bal sizes for each pt …",https://www.jacc.org/doi/full/10.1016/j.jcin.2016.12.238
Chronic kidney disease is associated with increased mortality and procedural complications in transcatheter aortic valve replacement: a systematic review and meta …,"P Rattanawong, C Kanitsoraphan… - Catheterization and …, 2019 - Wiley Online Library","… TAVR.6 The impact of varying stages of CKD or end-stage renal disease (ESRD) on patients 
receiving TAVR … mortality in patients who underwent TAVR. Additional outcomes including …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.28102
"TCT-148 An international analyses of 122,610 NSTEMI patients with 5 year outcomes: assessing the influence of age and comorbidities on invasively vs medically …","M Protty, K Al-Zuhairi, T Kinnaird, M Mamas… - Journal of the American …, 2018 - jacc.org","… BACKGROUND TAVR is being performed more commonly in the elderly population with a … 
underwent TAVR at the single tertiary care center. Data were obtained from the TAVR registry …",https://www.jacc.org/doi/full/10.1016/j.jacc.2018.08.1256
TCT-147 High wattage electronic cigarette vaping after coronary stenting induces arterial hypoxemia: a randomized clinical trial,"M Chaumont, W Zaher, Q de Hemptinne, R Briki… - Journal of the American …, 2018 - jacc.org","… BACKGROUND TAVR is being performed more commonly in the elderly population with a … 
underwent TAVR at the single tertiary care center. Data were obtained from the TAVR registry …",https://www.jacc.org/doi/full/10.1016/j.jacc.2018.08.1255
Newer Generation Transcatheter Heart Valve Devices: Moving FORWARD,"D Dvir - JACC: Cardiovascular Interventions, 2018 - jacc.org","… TAVR and can allow for defining objectives for clinical outcomes post-TAVR in high-risk 
patients. These bars may include single digit 1-year death rate, up to 2% disabling stoke, up to …",https://www.jacc.org/doi/full/10.1016/j.jcin.2018.10.007
Vascular complications associated with intraaortic balloon pump supported percutaneous coronary intervention (PCI) and clinical outcomes from the British …,"T Kinnaird, R Anderson, S Gallagher… - Catheterization and …, 2021 - Wiley Online Library","… Furthermore, in parallel with increasing patient age and the uptake of transaortic valve 
replacement (TAVR), severe concomitant valve disease is also more prevalent. With increasing …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.29549
Cerebral embolic protection during transcatheter aortic valve replacement,"F Yashima, A Briasoulis, T Kuno, M Noguchi… - Cardiovascular …, 2021 - Elsevier","Background It is controversial that cerebral embolic protection devices (CEPDs) reduce clinical 
stroke during transcatheter aortic valve replacement (TAVR). Herein, we investigated the …",https://www.sciencedirect.com/science/article/pii/S1553838921002542
Outcomes and Contemporary Trends in Surgical vs Transcatheter Aortic Valve Replacement in Patients with Chronic Obstructive Pulmonary Disease,"MZ Khan, AA Alharbi, S Zahid, MU Khan, W Ullah… - Structural …, 2021 - Taylor & Francis","… over the study period in the TAVR group from 4.8% to 1.5%. … outcomes in patients undergoing 
either TAVR or SAVR and is one of … since the approval of the TAVR procedure in the COPD …",https://www.tandfonline.com/doi/abs/10.1080/24748706.2021.1931736
Arrhythmias in relation to mortality after transcatheter aortic valve replacement,"BP Dhakal, KA Skinner, K Kumar, K Lotun… - The American Journal of …, 2020 - Elsevier","… AV type and size used in the TAVR procedure was also studied. Post-TAVR, we examined 
whether a pacemaker was implanted and mortality based on last known chart documentation. …",https://www.sciencedirect.com/science/article/pii/S0002934320303387
TCT-842 Embolic Particles Show Surprising Size Dependent Predilection for Cerebral versus Peripheral Arteries: Results from Computational Fluid Dynamic …,"S Shadden, N Nemoto, W Pedersen, J Lesser… - Journal of the American …, 2012 - jacc.org","… To better understand emboli arising from procedures such as TAVR, we built a computa… 
Blood flow was modeled by the Navier-Stokes equations using pulsatile inflow at the inlet and …",https://www.jacc.org/doi/full/10.1016/j.jacc.2012.08.888
Personalized intervention cardiology with transcatheter aortic valve replacement made possible with a non-invasive monitoring and diagnostic framework,"S Khodaei, A Henstock, R Sadeghi, S Sellers… - Scientific Reports, 2021 - nature.com","… in both pre and post-TAVR, proper diagnostic methods are still … in both pre and post-TAVR 
and its progression has been … for patients with C3VD who undergo TAVR to quantify metrics of:…",https://www.nature.com/articles/s41598-021-85500-2
P6029 impact of elixhauser comorbidity score on the outcomes of transcatheter aortic valve replacement,"V Nagaraja, P Generaeux, M Cohen… - European Heart …, 2018 - academic.oup.com","… Whilst the impact of individual comorbid conditions on clinical outcomes following TAVR … 
undergoing TAVR in the National Inpatient Sample (NIS). Methods: TAVR procedures were …",https://academic.oup.com/eurheartj/article-pdf/doi/10.1093/eurheartj/ehy566.P6029/25577811/ehy566.p6029.pdf
European experience and perspectives on transcatheter aortic valve replacement,"WR Davies, MR Thomas - Progress in Cardiovascular Diseases, 2014 - Elsevier","… After all, Europe provided the birthplace for the first clinical TAVR and allowed commercial 
… examining TAVR in a lower risk cohort, the European adoption of the TAVR technology …",https://www.sciencedirect.com/science/article/pii/S0033062014000267
Improving transcatheter aortic valve interventional predictability via fluid–structure interaction modelling using patient-specific anatomy,"V Govindarajan, A Kolanjiyil… - Royal Society …, 2022 - royalsocietypublishing.org","… (TAVR) is now a standard treatment for high-surgical-risk patients with severe aortic valve 
stenosis. TAVR … pre- and post-TAVR dynamics of a patient who underwent a 23 mm TAVR and …",https://royalsocietypublishing.org/doi/abs/10.1098/rsos.211694
TCT-361 Clinical Outcomes in Patients Undergoing Percutaneous Coronary Intervention Treated With Colchicine,"CS Jimenez, JS Sanchez, F Hayat, J Chang… - Journal of the American …, 2021 - jacc.org","… dural complications during transcatheter aortic valve replacement (TAVR). The balloon-expandable … 
patients with severe aortic stenosis who underwent TAVR with S3U at 3 high-volume …",https://www.jacc.org/doi/full/10.1016/j.jacc.2021.09.1214
Predictive model for thrombus formation after transcatheter valve replacement,"H Hatoum, S Singh-Gryzbon, F Esmailie… - Cardiovascular …, 2021 - Springer","… The two main energy sources of neo-sinus (NS) washout after TAVR include the jet flow … 
The continuity equation and Reynolds averaged Navier-Stokes equations with a shear-…",https://link.springer.com/article/10.1007/s13239-021-00596-x
P6027 Drug eluting are superior to bare metal stents in patients with end-stage renal disease on dialysis: a meta-analysis,"VA Galiffa, G Crimi, V Gritti, V Scotti… - European Heart …, 2018 - academic.oup.com","… Whilst the impact of individual comorbid conditions on clinical outcomes following TAVR … 
undergoing TAVR in the National Inpatient Sample (NIS). Methods: TAVR procedures were …",https://academic.oup.com/eurheartj/article-pdf/doi/10.1093/eurheartj/ehy566.P6027/25577770/ehy566.p6027.pdf
Immersogeometric fluid–structure interaction modeling and simulation of transcatheter aortic valve replacement,"MCH Wu, HM Muchowski, EL Johnson… - Computer methods in …, 2019 - Elsevier","… The goal of this paper is to develop a computational FSI framework for TAVR simulations in 
order to … The blood flow in a deforming artery is governed by the Navier–Stokes equations of …",https://www.sciencedirect.com/science/article/pii/S0045782519304219
